x,y,depth
412,6,0.3309
416,6,0.3369
420,6,0.3246
424,6,0.3082
428,6,0.3044
432,6,0.3195
436,6,0.3432
440,6,0.3619
444,6,0.3709
448,6,0.3757
452,6,0.3813
456,6,0.3845
460,6,0.3806
464,6,0.3693
468,6,0.3525
472,6,0.3316
476,6,0.3066
480,6,0.2786
484,6,0.2512
488,6,0.2289
492,6,0.2143
496,6,0.2072
500,6,0.2059
504,6,0.2079
508,6,0.2111
512,6,0.2147
516,6,0.2192
520,6,0.2256
524,6,0.2339
528,6,0.2433
532,6,0.2525
536,6,0.2601
540,6,0.2641
544,6,0.2631
548,6,0.2574
552,6,0.2508
556,6,0.2475
560,6,0.2497
564,6,0.2549
568,6,0.2582
572,6,0.2564
576,6,0.2504
580,6,0.2434
584,6,0.2375
588,6,0.2330
592,6,0.2289
596,6,0.2252
600,6,0.2228
604,6,0.2224
608,6,0.2236
612,6,0.2239
616,6,0.2203
620,6,0.2124
624,6,0.2023
628,6,0.1931
632,6,0.1868
636,6,0.1834
0,7,0.1752
4,7,0.1748
8,7,0.1747
12,7,0.1762
16,7,0.1787
20,7,0.1788
24,7,0.1733
28,7,0.1619
32,7,0.1490
36,7,0.1392
40,7,0.1342
44,7,0.1320
48,7,0.1296
52,7,0.1258
56,7,0.1215
60,7,0.1179
64,7,0.1155
68,7,0.1135
72,7,0.1116
76,7,0.1096
80,7,0.1085
84,7,0.1102
88,7,0.1178
92,7,0.1336
96,7,0.1573
100,7,0.1836
104,7,0.2049
108,7,0.2157
112,7,0.2170
116,7,0.2137
120,7,0.2120
124,7,0.2139
128,7,0.2172
132,7,0.2168
136,7,0.2093
140,7,0.1940
144,7,0.1740
148,7,0.1547
152,7,0.1416
156,7,0.1377
160,7,0.1416
164,7,0.1478
168,7,0.1504
172,7,0.1464
176,7,0.1382
180,7,0.1296
184,7,0.1236
188,7,0.1206
192,7,0.1195
196,7,0.1185
200,7,0.1170
204,7,0.1153
208,7,0.1140
212,7,0.1133
216,7,0.1139
220,7,0.1159
224,7,0.1181
228,7,0.1178
232,7,0.1140
236,7,0.1087
240,7,0.1067
244,7,0.1108
248,7,0.1210
252,7,0.1333
256,7,0.1424
260,7,0.1438
264,7,0.1371
268,7,0.1258
272,7,0.1153
276,7,0.1093
280,7,0.1092
284,7,0.1135
288,7,0.1199
292,7,0.1257
296,7,0.1289
300,7,0.1285
304,7,0.1247
308,7,0.1189
312,7,0.1137
316,7,0.1109
320,7,0.1111
324,7,0.1134
328,7,0.1173
332,7,0.1216
336,7,0.1244
340,7,0.1232
344,7,0.1180
348,7,0.1125
352,7,0.1117
356,7,0.1185
360,7,0.1314
364,7,0.1456
368,7,0.1566
372,7,0.1620
376,7,0.1624
380,7,0.1595
384,7,0.1563
388,7,0.1560
392,7,0.1620
396,7,0.1797
400,7,0.2124
404,7,0.2564
408,7,0.3001
412,7,0.3293
416,7,0.3363
420,7,0.3243
424,7,0.3067
428,7,0.2995
432,7,0.3097
436,7,0.3286
440,7,0.3444
444,7,0.3536
448,7,0.3616
452,7,0.3720
456,7,0.3799
460,7,0.3797
464,7,0.3711
468,7,0.3570
472,7,0.3388
476,7,0.3164
480,7,0.2905
484,7,0.2645
488,7,0.2431
492,7,0.2291
496,7,0.2226
500,7,0.2218
504,7,0.2244
508,7,0.2283
512,7,0.2326
516,7,0.2375
520,7,0.2442
524,7,0.2524
528,7,0.2609
532,7,0.2684
536,7,0.2737
540,7,0.2756
544,7,0.2730
548,7,0.2665
552,7,0.2597
556,7,0.2566
560,7,0.2593
564,7,0.2653
568,7,0.2695
572,7,0.2684
576,7,0.2628
580,7,0.2556
584,7,0.2495
588,7,0.2447
592,7,0.2401
596,7,0.2357
600,7,0.2324
604,7,0.2311
608,7,0.2315
612,7,0.2310
616,7,0.2269
620,7,0.2186
624,7,0.2082
628,7,0.1992
632,7,0.1932
636,7,0.1901
0,8,0.1756
4,8,0.1747
8,8,0.1736
12,8,0.1741
16,8,0.1759
20,8,0.1757
24,8,0.1700
28,8,0.1587
32,8,0.1460
36,8,0.1364
40,8,0.1318
44,8,0.1300
48,8,0.1282
52,8,0.1252
56,8,0.1218
60,8,0.1190
64,8,0.1173
68,8,0.1158
72,8,0.1141
76,8,0.1120
80,8,0.1106
84,8,0.1117
88,8,0.1185
92,8,0.1333
96,8,0.1555
100,8,0.1801
104,8,0.2002
108,8,0.2109
112,8,0.2131
116,8,0.2116
120,8,0.2115
124,8,0.2143
128,8,0.2178
132,8,0.2177
136,8,0.2107
140,8,0.1961
144,8,0.1766
148,8,0.1572
152,8,0.1436
156,8,0.1390
160,8,0.1422
164,8,0.1477
168,8,0.1494
172,8,0.1448
176,8,0.1361
180,8,0.1272
184,8,0.1209
188,8,0.1177
192,8,0.1166
196,8,0.1158
200,8,0.1148
204,8,0.1137
208,8,0.1130
212,8,0.1127
216,8,0.1134
220,8,0.1151
224,8,0.1171
228,8,0.1171
232,8,0.1138
236,8,0.1094
240,8,0.1078
244,8,0.1120
248,8,0.1218
252,8,0.1337
256,8,0.1425
260,8,0.1441
264,8,0.1377
268,8,0.1269
272,8,0.1165
276,8,0.1105
280,8,0.1101
284,8,0.1144
288,8,0.1212
292,8,0.1276
296,8,0.1315
300,8,0.1314
304,8,0.1274
308,8,0.1211
312,8,0.1152
316,8,0.1118
320,8,0.1116
324,8,0.1138
328,8,0.1175
332,8,0.1217
336,8,0.1242
340,8,0.1229
344,8,0.1178
348,8,0.1123
352,8,0.1117
356,8,0.1186
360,8,0.1316
364,8,0.1459
368,8,0.1570
372,8,0.1625
376,8,0.1630
380,8,0.1601
384,8,0.1568
388,8,0.1560
392,8,0.1611
396,8,0.1778
400,8,0.2098
404,8,0.2535
408,8,0.2976
412,8,0.3278
416,8,0.3358
420,8,0.3241
424,8,0.3052
428,8,0.2945
432,8,0.2996
436,8,0.3134
440,8,0.3263
444,8,0.3361
448,8,0.3479
452,8,0.3639
456,8,0.3771
460,8,0.3807
464,8,0.3748
468,8,0.3630
472,8,0.3474
476,8,0.3273
480,8,0.3034
484,8,0.2787
488,8,0.2582
492,8,0.2449
496,8,0.2389
500,8,0.2387
504,8,0.2420
508,8,0.2466
512,8,0.2515
516,8,0.2570
520,8,0.2639
524,8,0.2717
528,8,0.2791
532,8,0.2847
536,8,0.2876
540,8,0.2872
544,8,0.2828
548,8,0.2754
552,8,0.2683
556,8,0.2655
560,8,0.2687
564,8,0.2754
568,8,0.2805
572,8,0.2801
576,8,0.2748
580,8,0.2676
584,8,0.2612
588,8,0.2560
592,8,0.2509
596,8,0.2458
600,8,0.2415
604,8,0.2393
608,8,0.2388
612,8,0.2376
616,8,0.2329
620,8,0.2240
624,8,0.2135
628,8,0.2047
632,8,0.1990
636,8,0.1963
0,9,0.1757
4,9,0.1745
8,9,0.1725
12,9,0.1719
16,9,0.1731
20,9,0.1725
24,9,0.1667
28,9,0.1554
32,9,0.1428
36,9,0.1335
40,9,0.1292
44,9,0.1279
48,9,0.1267
52,9,0.1245
56,9,0.1220
60,9,0.1202
64,9,0.1192
68,9,0.1183
72,9,0.1168
76,9,0.1146
80,9,0.1128
84,9,0.1133
88,9,0.1193
92,9,0.1329
96,9,0.1536
100,9,0.1766
104,9,0.1955
108,9,0.2060
112,9,0.2092
116,9,0.2094
120,9,0.2109
124,9,0.2146
128,9,0.2185
132,9,0.2186
136,9,0.2123
140,9,0.1985
144,9,0.1794
148,9,0.1599
152,9,0.1457
156,9,0.1405
160,9,0.1430
164,9,0.1476
168,9,0.1485
172,9,0.1432
176,9,0.1340
180,9,0.1247
184,9,0.1182
188,9,0.1148
192,9,0.1136
196,9,0.1130
200,9,0.1124
204,9,0.1119
208,9,0.1119
212,9,0.1121
216,9,0.1128
220,9,0.1144
224,9,0.1162
228,9,0.1163
232,9,0.1138
236,9,0.1101
240,9,0.1091
244,9,0.1133
248,9,0.1228
252,9,0.1343
256,9,0.1428
260,9,0.1444
264,9,0.1385
268,9,0.1281
272,9,0.1179
276,9,0.1117
280,9,0.1112
284,9,0.1154
288,9,0.1226
292,9,0.1298
296,9,0.1344
300,9,0.1346
304,9,0.1304
308,9,0.1235
312,9,0.1168
316,9,0.1128
320,9,0.1122
324,9,0.1142
328,9,0.1177
332,9,0.1216
336,9,0.1240
340,9,0.1225
344,9,0.1173
348,9,0.1120
352,9,0.1116
356,9,0.1187
360,9,0.1318
364,9,0.1461
368,9,0.1572
372,9,0.1628
376,9,0.1634
380,9,0.1607
384,9,0.1573
388,9,0.1561
392,9,0.1603
396,9,0.1760
400,9,0.2072
404,9,0.2506
408,9,0.2951
412,9,0.3263
416,9,0.3355
420,9,0.3243
424,9,0.3041
428,9,0.2898
432,9,0.2896
436,9,0.2983
440,9,0.3083
444,9,0.3190
448,9,0.3352
452,9,0.3572
